stateBchoice1,stateBchoice2,stateCchoice1,stateCchoice2,trialNum
0.7,0.3,0.4,0.6,1
0.715750893,0.262913814,0.375753695,0.570180156,2
0.726598497,0.253944188,0.384905411,0.564956684,3
0.741406473,0.309422327,0.36807756,0.575686987,4
0.73369079,0.283823293,0.367901466,0.579168309,5
0.713849367,0.295696775,0.385565781,0.557981876,6
0.667061784,0.262885233,0.414558243,0.558079277,7
0.702210097,0.256456404,0.421444228,0.550343596,8
0.689036589,0.250804434,0.414946863,0.520915415,9
0.704864291,0.268210662,0.432539028,0.529146664,10
0.709827387,0.25931182,0.447635736,0.516310622,11
0.686424714,0.283898593,0.448231368,0.542174184,12
0.6734442,0.255753046,0.451142452,0.540677296,13
0.701184804,0.289365886,0.44090525,0.578024414,14
0.64408961,0.264103913,0.421223982,0.586428715,15
0.67480341,0.258214742,0.424758167,0.584906374,16
0.706825838,0.286670034,0.420830908,0.599234981,17
0.689671841,0.300228998,0.473546742,0.571384797,18
0.667070293,0.279934631,0.446886718,0.566691856,19
0.664894177,0.29837021,0.460915727,0.53618722,20
0.65563463,0.30464629,0.483787522,0.511505231,21
0.64821115,0.301167914,0.481996343,0.507385827,22
0.642271005,0.366706961,0.531729108,0.485221022,23
0.658592224,0.385342785,0.51670194,0.502589812,24
0.719092682,0.402953436,0.497541733,0.50802016,25
0.70540296,0.377432064,0.492927271,0.533544121,26
0.693078484,0.39866507,0.457552374,0.534809573,27
0.667074264,0.334334772,0.398315591,0.525143734,28
0.674047716,0.293689023,0.3932371,0.522319882,29
0.681771045,0.284364718,0.361061111,0.510046878,30
0.709819333,0.255213672,0.33545428,0.549817077,31
0.748756247,0.269659998,0.335314584,0.531885173,32
0.711499427,0.311417653,0.328858725,0.508508629,33
0.649709232,0.279883904,0.298541523,0.532484798,34
0.650666231,0.253585398,0.30044928,0.53957571,35
0.655051337,0.284125565,0.25902763,0.540571205,36
0.633605249,0.283651966,0.256337254,0.587675088,37
0.616707797,0.258163273,0.286599524,0.573686617,38
0.651680129,0.290734544,0.286495809,0.584362781,39
0.661359686,0.262891672,0.266327861,0.634593652,40
0.644847092,0.270248592,0.253309128,0.670757418,41
0.653262004,0.250036076,0.282228955,0.672168631,42
0.656492931,0.261870412,0.311576765,0.696858237,43
0.696664547,0.256063561,0.278997299,0.744765753,44
0.698855792,0.298276037,0.291154434,0.745341295,45
0.6721266,0.299211337,0.297753328,0.708176236,46
0.678651219,0.276264335,0.314682789,0.74233613,47
0.710146761,0.262755971,0.318781146,0.739999795,48
0.680251664,0.315964026,0.323602821,0.715035906,49
0.713710268,0.286625038,0.380101043,0.737952049,50
0.735824362,0.32046722,0.385681021,0.741879301,51
0.708787249,0.287448538,0.385419311,0.713680913,52
0.69537009,0.295436845,0.382021456,0.730099773,53
0.686512408,0.310449728,0.350224047,0.71736442,54
0.638276059,0.31578224,0.351306138,0.726130237,55
